79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,80,80,79,80,79,80,79,96,80,95,95,95,95,95,95,95,95,95,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,80,79,79,79,79,80,96,79,79,80,80,80,79,79,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,95,95,12,13,13,13,13,13,13,13,13,13,13,13,14,95,79,80,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,95,28,29,29,29,29,29,29,29,29,29,29,29,30,79,95,96,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,28,29,11,11,11,11,11,11,11,11,11,29,30,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,95,79,28,29,27,27,27,27,11,27,27,27,27,29,30,96,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,28,29,11,11,11,11,11,11,11,11,43,29,30,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,80,28,29,27,27,27,27,27,27,27,11,11,29,112,13,13,13,13,13,14,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,28,29,29,29,29,29,29,29,29,29,11,29,29,29,29,29,29,29,30,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
95,95,95,44,45,45,45,45,45,45,45,127,29,29,11,11,11,11,11,11,29,30,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
79,95,96,95,79,80,96,95,96,95,96,28,29,11,11,11,27,27,27,27,29,30,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,95,96,96,95,96,80,95,95,96,79,28,29,27,27,27,43,43,43,43,29,30,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,79,80,95,96,96,96,95,96,95,28,29,11,11,11,11,11,11,11,29,30,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,95,96,96,79,79,80,79,28,29,27,27,27,27,27,27,27,29,30,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
79,79,80,96,96,96,95,79,95,96,95,28,29,43,43,43,43,43,43,43,29,30,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,95,96,96,79,80,79,80,79,80,79,28,29,29,29,29,29,29,29,29,29,30,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
79,80,95,96,95,96,95,96,95,96,95,44,45,45,45,45,45,45,45,45,45,46,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
95,96,80,80,80,80,79,80,80,80,80,79,80,80,80,80,80,80,80,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
96,96,96,96,96,96,95,96,96,96,96,95,96,96,96,96,96,96,96,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,79,79,79,80,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,95,95,95,96,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,
79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,79,80,
95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96,95,96
